Pair_ID	Image # (Latents only)	LQMetric OverallQuality	LQMetric Est VID	LQMetric Est VCMP	LQAS Overall Clarity (Auto)
M096120	L_096	96	100	100	66
M096146	L_096	96	100	100	66
M097087	L_097	13	59	93	12
M097103	L_097	13	59	93	12
N097467	L_097	13	59	93	12
M098088	L_098	95	100	100	66
M098104	L_098	95	100	100	66
N098474	L_098	95	100	100	66
M099088	L_099	10	58	92	14
M099104	L_099	10	58	92	14
M100123	L_100	24	70	94	24
M100128	L_100	24	70	94	24
M101122	L_101	42	85	98	23
M101124	L_101	42	85	98	23
M102094	L_102	72	98	99	40
M102110	L_102	72	98	99	40
N102438	L_102	72	98	99	40
M103094	L_103	43	88	98	21
M103110	L_103	43	88	98	21
M104095	L_104	78	99	100	49
M104111	L_104	78	99	100	49
N104432	L_104	78	99	100	49
M105096	L_105	22	65	93	11
M105147	L_105	22	65	93	11
M106091	L_106	7	56	87	16
M106102	L_106	7	56	87	16
N106472	L_106	7	56	87	16
M107091	L_107	9	58	92	14
M107102	L_107	9	58	92	14
M108129	L_108	6	54	83	22
M108148	L_108	6	54	83	22
M109101	L_109	79	99	100	52
M109114	L_109	79	99	100	52
M110105	L_110	95	100	100	66
N110086	L_110	95	100	100	66
M111089	L_111	9	58	92	24
N111478	L_111	9	58	92	24
M112122	L_112	30	79	96	22
M112124	L_112	30	79	96	22
N112404	L_112	30	79	96	22
M113117	L_113	13	59	93	13
M113137	L_113	13	59	93	13
M114111	L_114	13	59	93	12
M115109	L_115	49	90	98	28
M115127	L_115	49	90	98	28
M116109	L_116	43	87	98	27
M116127	L_116	43	87	98	27
M117116	L_117	95	100	100	64
M117145	L_117	95	100	100	64
N118442	L_118	50	91	99	59
M119120	L_119	54	93	99	34
M119146	L_119	54	93	99	34
N120133	L_120	0	0	0	42
N121133	L_121	54	93	99	34
M122129	L_122	70	98	99	44
M122148	L_122	70	98	99	44
N122437	L_122	70	98	99	44
M123125	L_123	43	87	98	24
M123136	L_123	43	87	98	24
M124125	L_124	72	98	99	49
M124136	L_124	72	98	99	49
M125101	L_125	75	98	100	50
M125114	L_125	75	98	100	50
N125392	L_125	75	98	100	50
N125393	L_125	75	98	100	50
M126123	L_126	43	88	98	28
M126128	L_126	43	88	98	28
N126407	L_126	43	88	98	28
M127097	L_127	57	96	99	30
M127138	L_127	57	96	99	30
N128130	L_128	57	96	99	30
N129150	L_129	8	57	92	57
M130097	L_130	54	92	99	30
M130138	L_130	54	92	99	30
N130390	L_130	54	92	99	30
N130391	L_130	54	92	99	30
M131139	L_131	66	96	99	37
N131138	L_131	66	96	99	37
N131149	L_131	66	96	99	37
N131465	L_131	66	96	99	37
N132464	L_132	9	58	92	53
M133115	L_133	18	64	93	11
M133139	L_133	18	64	93	11
N133464	L_133	18	64	93	11
M134098	L_134	87	100	100	61
M134112	L_134	87	100	100	61
N134141	L_134	87	100	100	61
N134386	L_134	87	100	100	61
N134387	L_134	87	100	100	61
M135098	L_135	24	70	94	23
M135112	L_135	24	70	94	23
N136090	L_136	24	70	94	23
M137117	L_137	0	0	0	11
M137137	L_137	0	0	0	11
M138113	L_138	72	98	99	45
M138131	L_138	72	98	99	45
N138430	L_138	72	98	99	45
M139113	L_139	65	96	99	35
M139131	L_139	65	96	99	35
N140151	L_140	44	89	98	26
N141140	L_141	65	96	99	35
M142099	L_142	73	98	100	47
M142142	L_142	73	98	100	47
N142445	L_142	73	98	100	47
N143447	L_143	21	65	93	60
M144099	L_144	66	97	99	36
M144142	L_144	66	97	99	36
N145446	L_145	68	97	99	39
M146119	L_146	9	58	92	13
M146121	L_146	9	58	92	13
M147119	L_147	2	27	52	17
M147121	L_147	2	27	52	17
N147415	L_147	2	27	52	17
M148100	L_148	72	98	99	47
M148152	L_148	72	98	99	47
N148457	L_148	72	98	99	47
N149458	L_149	72	98	99	47
M150100	L_150	79	99	100	52
M150152	L_150	79	99	100	52
M151126	L_151	14	59	93	11
M151135	L_151	14	59	93	11
N151428	L_151	14	59	93	11
M152126	L_152	18	64	93	11
M152135	L_152	18	64	93	11
M153143	L_153	61	96	99	39
M153153	L_153	61	96	99	39
N153388	L_153	61	96	99	39
N153389	L_153	61	96	99	39
M154143	L_154	19	64	93	12
M154153	L_154	19	64	93	12
M155096	L_155	83	99	100	55
M155147	L_155	83	99	100	55
N155441	L_155	83	99	100	55
M156087	L_156	0	0	0	11
M156103	L_156	0	0	0	11
M157092	L_157	28	78	96	11
M157106	L_157	28	78	96	11
M158092	L_158	0	0	0	12
M158106	L_158	0	0	0	12
M159093	L_159	78	99	100	51
M159107	L_159	78	99	100	51
N159108	L_159	78	99	100	51
N159468	L_159	78	99	100	51
M160093	L_160	24	72	95	23
M160107	L_160	24	72	95	23
M161118	L_161	0	0	0	11
M161134	L_161	0	0	0	11
M162118	L_162	47	90	98	23
M162134	L_162	47	90	98	23
M163162	L_163	67	97	99	46
M163165	L_163	67	97	99	46
M164162	L_164	13	59	93	12
M164165	L_164	13	59	93	12
M165154	L_165	43	87	98	30
M165166	L_165	43	87	98	30
N165431	L_165	43	87	98	30
M166154	L_166	46	90	98	27
M166166	L_166	46	90	98	27
N166156	L_166	46	90	98	27
M167160	L_167	11	59	92	21
M167161	L_167	11	59	92	21
M168163	L_168	68	97	99	35
M168164	L_168	68	97	99	35
N168423	L_168	68	97	99	35
M169157	L_169	70	98	99	39
M169159	L_169	70	98	99	39
M170157	L_170	44	89	98	22
M170159	L_170	44	89	98	22
M171160	L_171	14	59	93	11
M171161	L_171	14	59	93	11
M172163	L_172	74	98	100	43
M172164	L_172	74	98	100	43
M173155	L_173	55	95	99	42
M173158	L_173	55	95	99	42
M174155	L_174	19	64	93	11
M174158	L_174	19	64	93	11
M175167	L_175	9	58	92	23
M175170	L_175	9	58	92	23
N175476	L_175	9	58	92	23
M176167	L_176	5	52	77	15
M176170	L_176	5	52	77	15
M177168	L_177	20	64	93	11
M177169	L_177	20	64	93	11
M178168	L_178	0	0	0	11
M178169	L_178	0	0	0	11
M179184	L_179	52	91	99	42
M179188	L_179	52	91	99	42
M180174	L_180	20	65	93	21
M180189	L_180	20	65	93	21
M181183	L_181	78	99	100	51
M181185	L_181	78	99	100	51
N181382	L_181	78	99	100	51
N181383	L_181	78	99	100	51
M182177	L_182	45	90	98	27
M182180	L_182	45	90	98	27
M183172	L_183	11	59	92	13
M183181	L_183	11	59	92	13
M184178	L_184	92	100	100	64
M184182	L_184	92	100	100	64
M185187	L_185	41	82	97	21
M186186	L_186	60	96	99	38
N186433	L_186	60	96	99	38
M187171	L_187	12	59	92	24
M187176	L_187	12	59	92	24
M188172	L_188	14	61	93	21
M188181	L_188	14	61	93	21
N188439	L_188	14	61	93	21
M189173	L_189	10	58	92	21
M189187	L_189	10	58	92	21
N189448	L_189	10	58	92	21
N190449	L_190	0	0	0	28
N191450	L_191	0	0	0	32
M192175	L_192	13	59	93	12
M192190	L_192	13	59	93	12
M193175	L_193	74	98	100	43
M193190	L_193	74	98	100	43
M194179	L_194	22	65	93	11
M194186	L_194	22	65	93	11
M195171	L_195	46	90	98	29
M195176	L_195	46	90	98	29
M196183	L_196	56	95	99	30
M196185	L_196	56	95	99	30
M197177	L_197	23	65	93	22
M197180	L_197	23	65	93	22
N197406	L_197	23	65	93	22
M198178	L_198	14	63	93	31
M198182	L_198	14	63	93	31
M199184	L_199	23	65	93	11
M199188	L_199	23	65	93	11
N199405	L_199	23	65	93	11
M200174	L_200	24	70	94	12
M200189	L_200	24	70	94	12
M201191	L_201	87	100	100	59
M201206	L_201	87	100	100	59
M202191	L_202	1	13	26	21
M202206	L_202	1	13	26	21
N202477	L_202	1	13	26	21
M203227	L_203	40	80	97	11
N203454	L_203	40	80	97	11
M204193	L_204	22	65	93	35
M204210	L_204	22	65	93	35
N204481	L_204	22	65	93	35
M205192	L_205	5	51	73	22
M205207	L_205	5	51	73	22
M206192	L_206	7	57	91	15
M206207	L_206	7	57	91	15
M207204	L_207	41	83	97	21
M207224	L_207	41	83	97	21
M208200	L_208	40	80	97	10
M208217	L_208	40	80	97	10
M209194	L_209	3	39	63	17
M209211	L_209	3	39	63	17
M210218	L_210	0	0	0	10
M210221	L_210	0	0	0	10
M211196	L_211	9	58	92	13
M211213	L_211	9	58	92	13
M212203	L_212	55	95	99	31
M212228	L_212	55	95	99	31
M213197	L_213	73	98	100	39
M213214	L_213	73	98	100	39
M214226	L_214	0	0	0	10
N214461	L_214	0	0	0	10
M215201	L_215	40	79	97	11
M215219	L_215	40	79	97	11
M216202	L_216	0	0	0	10
M216222	L_216	0	0	0	10
M217223	L_217	54	92	99	30
M217226	L_217	54	92	99	30
N217463	L_217	54	92	99	30
M218193	L_218	57	96	99	36
M218210	L_218	57	96	99	36
M219204	L_219	0	0	0	10
M219224	L_219	0	0	0	10
M220200	L_220	55	95	99	28
M220217	L_220	55	95	99	28
M221194	L_221	96	100	100	68
M221211	L_221	96	100	100	68
N221483	L_221	96	100	100	68
M222208	L_222	10	58	92	20
M222220	L_222	10	58	92	20
N222427	L_222	10	58	92	20
M223195	L_223	46	90	98	28
M223212	L_223	46	90	98	28
M224208	L_224	15	63	93	11
M224220	L_224	15	63	93	11
M225195	L_225	90	100	100	57
M225212	L_225	90	100	100	57
M226196	L_226	24	70	94	24
M226213	L_226	24	70	94	24
M227218	L_227	41	80	97	11
M227221	L_227	41	80	97	11
M228203	L_228	95	100	100	67
M228228	L_228	95	100	100	67
N228418	L_228	95	100	100	67
N229462	L_229	71	98	99	38
M230201	L_230	11	59	92	11
M230219	L_230	11	59	92	11
N231222	L_231	63	96	99	32
N232229	L_232	68	97	99	32
M233198	L_233	87	100	100	58
M233215	L_233	87	100	100	58
M234202	L_234	45	90	98	23
M234222	L_234	45	90	98	23
N234414	L_234	45	90	98	23
N235225	L_235	58	96	99	28
N236209	L_236	59	96	99	28
M237198	L_237	89	100	100	61
M237215	L_237	89	100	100	61
N237484	L_237	89	100	100	61
M238199	L_238	71	98	99	47
M238216	L_238	71	98	99	47
M239205	L_239	0	0	0	10
M239230	L_239	0	0	0	10
M240205	L_240	0	0	0	10
M240230	L_240	0	0	0	10
N240455	L_240	0	0	0	10
M241199	L_241	79	99	100	53
M241216	L_241	79	99	100	53
N241482	L_241	79	99	100	53
M242231	L_242	0	0	0	11
M243197	L_243	69	98	99	40
M243214	L_243	69	98	99	40
N243475	L_243	69	98	99	40
M244247	L_244	9	58	92	27
M244266	L_244	9	58	92	27
M245270	L_245	74	98	100	47
N245233	L_245	74	98	100	47
N245377	L_245	74	98	100	47
N245378	L_245	74	98	100	47
N245379	L_245	74	98	100	47
N245380	L_245	74	98	100	47
N245381	L_245	74	98	100	47
M246237	L_246	54	93	99	37
M246284	L_246	54	93	99	37
N246279	L_246	54	93	99	37
M247271	L_247	46	90	98	35
M247279	L_247	46	90	98	35
M248252	L_248	51	91	99	35
N248396	L_248	51	91	99	35
N248397	L_248	51	91	99	35
N248398	L_248	51	91	99	35
N248399	L_248	51	91	99	35
M249232	L_249	9	58	92	25
M249249	L_249	9	58	92	25
M250253	L_250	10	58	92	22
M250272	L_250	10	58	92	22
M251268	L_251	51	91	99	33
M251274	L_251	51	91	99	33
M252239	L_252	0	0	0	11
M253262	L_253	74	98	100	47
M253292	L_253	74	98	100	47
N253435	L_253	74	98	100	47
M254242	L_254	14	59	93	22
M254289	L_254	14	59	93	22
M255282	L_255	19	64	93	24
M255290	L_255	19	64	93	24
M256255	L_256	21	65	93	12
M256273	L_256	21	65	93	12
M257235	L_257	42	84	97	28
M257251	L_257	42	84	97	28
N257282	L_257	42	84	97	28
M258255	L_258	9	58	92	12
M258273	L_258	9	58	92	12
M259277	L_259	71	98	99	42
M259291	L_259	71	98	99	42
M260277	L_260	0	0	0	11
M260291	L_260	0	0	0	11
M261263	L_261	6	54	81	32
M261287	L_261	6	54	81	32
N261285	L_261	6	54	81	32
M262237	L_262	21	65	93	25
M262284	L_262	21	65	93	25
N262424	L_262	21	65	93	25
M263240	L_263	4	48	68	15
M263257	L_263	4	48	68	15
N263408	L_263	4	48	68	15
M264288	L_264	9	58	92	16
M264294	L_264	9	58	92	16
N264416	L_264	9	58	92	16
M265271	L_265	53	91	99	33
M265279	L_265	53	91	99	33
N266259	L_266	63	96	99	30
N267256	L_267	64	96	99	30
M268262	L_268	75	98	100	49
M268292	L_268	75	98	100	49
N269246	L_269	9	58	92	53
N270236	L_270	72	98	99	36
N271246	L_271	74	98	100	38
M272265	L_272	55	95	99	32
M272293	L_272	55	95	99	32
N273269	L_273	41	80	97	32
N274283	L_274	0	0	0	27
N275244	L_275	41	80	97	11
N276276	L_276	51	91	99	24
N277235	L_277	62	96	99	32
N278250	L_278	42	85	98	21
N279243	L_279	30	79	96	11
N280254	L_280	57	96	99	29
N281286	L_281	45	89	98	22
N282254	L_282	0	0	0	11
N283264	L_283	0	0	0	11
N284285	L_284	24	72	95	53
N285234	L_285	65	96	99	33
N286241	L_286	24	73	95	23
N287281	L_287	53	91	99	28
N288280	L_288	69	98	99	31
N289238	L_289	55	95	99	31
N290258	L_290	71	98	99	33
N291267	L_291	66	97	99	27
N292237	L_292	76	98	100	45
N293278	L_293	78	99	100	45
M294288	L_294	42	85	98	20
M294294	L_294	42	85	98	20
M295248	L_295	69	98	99	37
M295261	L_295	69	98	99	37
N296257	L_296	25	75	96	12
M297232	L_297	10	58	92	21
M297249	L_297	10	58	92	21
N297425	L_297	10	58	92	21
M298253	L_298	3	36	61	21
M298272	L_298	3	36	61	21
N298409	L_298	3	36	61	21
M299268	L_299	0	0	0	10
M299274	L_299	0	0	0	10
M300239	L_300	7	56	89	14
M300280	L_300	7	56	89	14
N300395	L_300	7	56	89	14
M301242	L_301	8	57	92	21
M301289	L_301	8	57	92	21
M302265	L_302	11	59	92	16
M302293	L_302	11	59	92	16
M303282	L_303	10	58	92	12
M303290	L_303	10	58	92	12
M304235	L_304	44	89	98	25
M304251	L_304	44	89	98	25
N304275	L_304	44	89	98	25
N304417	L_304	44	89	98	25
M305247	L_305	9	58	92	14
M305266	L_305	9	58	92	14
M306245	L_306	0	0	0	11
M306270	L_306	0	0	0	11
M307263	L_307	0	0	0	13
M307287	L_307	0	0	0	13
M308240	L_308	14	59	93	12
M308257	L_308	14	59	93	12
M309252	L_309	10	58	92	28
M309260	L_309	10	58	92	28
M310248	L_310	0	0	0	12
M310261	L_310	0	0	0	12
M311295	L_311	99	100	100	81
N311296	L_311	99	100	100	81
M312297	L_312	78	99	100	55
N312298	L_312	78	99	100	55
M313299	L_313	74	98	100	44
N313300	L_313	74	98	100	44
M314301	L_314	21	65	93	23
N314302	L_314	21	65	93	23
N315302	L_315	70	98	99	52
M316303	L_316	64	96	99	44
N316304	L_316	64	96	99	44
M317305	L_317	78	99	100	57
N317306	L_317	78	99	100	57
M318307	L_318	16	64	93	24
N318308	L_318	16	64	93	24
M319309	L_319	9	58	92	23
M320310	L_320	78	99	100	52
N320311	L_320	78	99	100	52
M321312	L_321	40	79	96	22
N321313	L_321	40	79	96	22
M322314	L_322	13	59	93	24
N322315	L_322	13	59	93	24
M323316	L_323	13	59	93	12
M324317	L_324	22	65	93	21
M325318	L_325	71	98	99	41
M326319	L_326	41	84	97	27
N326320	L_326	41	84	97	27
M327321	L_327	94	100	100	70
N327322	L_327	94	100	100	70
M328323	L_328	16	64	93	21
N328324	L_328	16	64	93	21
M329325	L_329	24	71	95	27
N329326	L_329	24	71	95	27
M330327	L_330	10	58	92	22
N330328	L_330	10	58	92	22
N331329	L_331	10	58	92	13
M332330	L_332	79	99	100	53
N333331	L_333	98	100	100	73
M334332	L_334	43	87	98	25
N334333	L_334	43	87	98	25
M335334	L_335	14	61	93	23
N335335	L_335	14	61	93	23
M336336	L_336	44	89	98	29
N336337	L_336	44	89	98	29
M337338	L_337	10	58	92	14
N337339	L_337	10	58	92	14
N337340	L_337	10	58	92	14
M338341	L_338	74	98	100	45
N338342	L_338	74	98	100	45
M339343	L_339	12	59	92	22
N339344	L_339	12	59	92	22
M340345	L_340	42	84	98	23
N340346	L_340	42	84	98	23
M341347	L_341	51	91	99	29
N341348	L_341	51	91	99	29
N342349	L_342	66	97	99	37
M343350	L_343	23	67	93	11
N343351	L_343	23	67	93	11
M344352	L_344	92	100	100	61
N344353	L_344	92	100	100	61
N345356	L_345	79	99	100	49
M346354	L_346	50	91	99	37
N346355	L_346	50	91	99	37
M347357	L_347	78	99	100	47
N347358	L_347	78	99	100	47
N348359	L_348	79	99	100	53
M349360	L_349	89	100	100	61
N349361	L_349	89	100	100	61
N349362	L_349	89	100	100	61
M350363	L_350	50	91	99	33
N350364	L_350	50	91	99	33
N350365	L_350	50	91	99	33
N351367	L_351	80	99	100	50
N352366	L_352	46	90	98	33
M353368	L_353	53	91	99	29
N353369	L_353	53	91	99	29
M354370	L_354	52	91	99	36
N354371	L_354	52	91	99	36
M355372	L_355	52	91	99	29
N355373	L_355	52	91	99	29
M356374	L_356	55	94	99	33
N356375	L_356	55	94	99	33
